LAKE NAME,Code,Latitude,Longitude,Distance,Latitude_DD,Longitude_DD
Kunta_Shikham,A8,"78°10'8.4""E","17°4'40.8""N",75.956,17.078,78.169
Kunta_Shikham,A9,"78°10'8.4""E","17°4'40.8""N",20.827,17.078,78.169
Kunta_Shikham,A10,"78°10'8.4""E","17°4'40.8""N",66.861,17.078,78.169
Kunta_Shikham,A11,"78°10'4.8""E","17°4'44.4""N",54.2,17.079,78.168
Kunta_Shikham,A12,"78°10'4.8""E","17°4'44.4""N",23.254,17.079,78.168
Kunta_Shikham,A13,"78°10'4.8""E","17°4'44.4""N",18.639,17.079,78.168
Mala_Kunta,A1,"17°4'36.419""N","78°9'45.81""E",0.0,17.07678,78.16272
Mala_Kunta,A2,"17°4'36.26""N","78°9'45.634""E",7.159,17.07674,78.16268
Mala_Kunta,A3,"17°4'36.433""N","78°9'45.004""E",19.33,17.07679,78.1625
Mala_Kunta,A4,"17°4'36.811""N","78°9'44.842""E",12.657,17.07689,78.16246
Mala_Kunta,A5,"17°4'36.646""N","78°9'43.83""E",30.297,17.07685,78.16218
Mala_Kunta,A6,"17°4'36.847""N","78°9'43.276""E",17.576,17.0769,78.16202
Mala_Kunta,A7,"17°4'37.006""N","78°9'42.631""E",19.656,17.07695,78.16184
Mala_Kunta,A8,"17°4'36.761""N","78°9'41.371""E",38.036,17.07688,78.16149
Mala_Kunta,A9,"17°4'37.286""N","78°9'40.975""E",19.936,17.07702,78.16138
Gaddabhavi_Kunta,A1,"17°5'20.006""N","78°10'12.058""E",0.0,17.08889,78.17002
Gaddabhavi_Kunta,A2,"17°5'20.119""N","78°10'11.838""E",7.36,17.08892,78.16996
Gaddabhavi_Kunta,A3,"17°5'20.473""N","78°10'11.773""E",11.07,17.08902,78.16994
Gaddabhavi_Kunta,A4,"17°5'20.959""N","78°10'11.566""E",16.07,17.08916,78.16988
Gaddabhavi_Kunta,A5,"17°5'21.489""N","78°10'11.492""E",16.64,17.0893,78.16986
Gaddabhavi_Kunta,A6,"17°5'21.714""N","78°10'11.543""E",7.08,17.08936,78.16987
Gaddabhavi_Kunta,A7,"17°5'22.678""N","78°10'11.607""E",29.74,17.08963,78.16989
Gaddabhavi_Kunta,A8,"17°5'22.677""N","78°10'11.349""E",8.93,17.08963,78.16982
Gaddabhavi_Kunta,A9,"17°5'23.237""N","78°10'11.192""E",17.84,17.08979,78.16978
Gaddabhavi_Kunta,A10,"17°5'23.156""N","78°10'11.692""E",14.98,17.08977,78.16991
Gaddabhavi_Kunta,A11,"17°5'23.787""N","78°10'12.207""E",24.66,17.08994,78.17006
Gaddabhavi_Kunta,A12,"17°5'23.269""N","78°10'12.722""E",22.04,17.0898,78.1702
Gaddabhavi_Kunta,A13,"17°5'23.485""N","78°10'16.516""E",112.47,17.08986,78.17125
Gaddabhavi_Kunta,A14,"17°5'22.630""N","78°10'15.347""E",43.47,17.08962,78.17093
Siddoni_Kunta,A1,"17°5'34.811""N","78°10'46.816""E",0.0,17.093,78.17967
Siddoni_Kunta,A2,"17°5'34.811""N","78°10'47.122""E",9.065,17.093,78.17976
Siddoni_Kunta,A3,"17°5'34.109""N","78°10'46.873""E",22.778,17.09281,78.17969
Siddoni_Kunta,A4,"17°5'33.1""N","78°10'46.877""E",24.592,17.09253,78.17969
Siddoni_Kunta,A5,"17°5'32.158""N","78°10'47.41""E",38.809,17.09227,78.17984
Siddoni_Kunta,A6,"17°5'30.998""N","78°10'46.524""E",44.244,17.09194,78.17959
Siddoni_Kunta,A7,"17°5'29.609""N","78°10'46.895""E",44.079,17.09156,78.17969
Siddoni_Kunta,A8,"17°5'28.421""N","78°10'45.595""E",53.829,17.09123,78.17933
Siddoni_Kunta,A9,"17°5'27.311""N","78°10'44.875""E",62.799,17.09092,78.17913
Siddoni_Kunta,A10,"17°5'29.692""N","78°10'42.665""E",56.002,17.09158,78.17852
Siddoni_Kunta,A11,"17°5'30.919""N","78°10'42.038""E",42.055,17.09192,78.17834
Siddoni_Kunta,A12,"17°5'31.88""N","78°10'42.204""E",29.907,17.09219,78.17839
Hanuman_Kunta,A1,"78°11'49.722""E","17°5'56.907""N",0.0,17.09914,78.19715
Hanuman_Kunta,A2,"78°11'49.568""E","17°5'57.878""N",30.22,17.09941,78.1971
Hanuman_Kunta,A3,"78°11'48.499""E","17°5'58.170""N",32.88,17.09949,78.19681
Hanuman_Kunta,A4,"78°11'48.437""E","17°5'58.292""N",4.17,17.09953,78.19679
Hanuman_Kunta,A5,"78°11'47.450""E","17°5'58.416""N",29.46,17.09956,78.19651
Hanuman_Kunta,A6,"78°11'46.463""E","17°5'59.229""N",38.44,17.09979,78.19624
Hanuman_Kunta,A7,"78°11'45.160""E","17°6'0.200""N",48.76,17.10006,78.19588
Hanuman_Kunta,A8,"78°11'43.952""E","17°6'1.220""N",47.55,17.10034,78.19554
Hanuman_Kunta,A9,"78°11'41.691""E","17°6'1.860""N",69.75,17.10052,78.19491
Hanuman_Kunta,A10,"78°11'40.082""E","17°6'2.758""N",55.02,17.10077,78.19447
Hanuman_Kunta,A11,"78°11'37.983""E","17°6'1.470""N",73.66,17.10041,78.19388
Hanuman_Kunta,A12,"78°11'37.501""E","17°6'0.209""N",41.24,17.10006,78.19375
Hanuman_Kunta,A13,"78°11'37.136""E","17°5'58.389""N",57.06,17.09955,78.19365
